2025-09-28T23:51:55,035 | INFO  | CM Configuration Updater (Update: pid=org.ops4j.pax.logging) | EventAdminConfigurationNotifier  | 7 - org.ops4j.pax.logging.pax-logging-log4j2 - 2.2.0 | Sending Event Admin notification (configuration successful) to org/ops4j/pax/logging/Configuration
2025-09-28T23:51:59,559 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.aries/org.apache.aries.util/1.1.3
2025-09-28T23:51:59,560 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.felix/org.apache.felix.scr/2.2.4
2025-09-28T23:51:59,560 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.karaf.bundle/org.apache.karaf.bundle.core/4.4.3
2025-09-28T23:51:59,560 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.features/4.4.3
2025-09-28T23:51:59,560 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.kar/4.4.3
2025-09-28T23:51:59,560 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.wrap/4.4.3
2025-09-28T23:51:59,561 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.karaf.diagnostic/org.apache.karaf.diagnostic.core/4.4.3
2025-09-28T23:51:59,561 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.karaf/org.apache.karaf.event/4.4.3
2025-09-28T23:51:59,561 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.karaf.features/org.apache.karaf.features.command/4.4.3
2025-09-28T23:51:59,561 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.karaf.instance/org.apache.karaf.instance.core/4.4.3
2025-09-28T23:51:59,562 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.command/4.4.3
2025-09-28T23:51:59,562 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.config/4.4.3
2025-09-28T23:51:59,562 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.modules/4.4.3
2025-09-28T23:51:59,562 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.karaf.kar/org.apache.karaf.kar.core/4.4.3
2025-09-28T23:51:59,562 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.karaf.log/org.apache.karaf.log.core/4.4.3
2025-09-28T23:51:59,562 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.karaf.management/org.apache.karaf.management.server/4.4.3
2025-09-28T23:51:59,563 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.karaf.package/org.apache.karaf.package.core/4.4.3
2025-09-28T23:51:59,563 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.karaf.scr/org.apache.karaf.scr.management/4.4.3
2025-09-28T23:51:59,564 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.karaf.scr/org.apache.karaf.scr.state/4.4.3
2025-09-28T23:51:59,564 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.karaf.service/org.apache.karaf.service.core/4.4.3
2025-09-28T23:51:59,564 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.karaf.shell/org.apache.karaf.shell.commands/4.4.3
2025-09-28T23:51:59,564 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.karaf.shell/org.apache.karaf.shell.core/4.4.3
2025-09-28T23:51:59,564 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.karaf.shell/org.apache.karaf.shell.ssh/4.4.3
2025-09-28T23:51:59,564 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.karaf.system/org.apache.karaf.system.core/4.4.3
2025-09-28T23:51:59,565 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.sshd/sshd-osgi/2.9.2
2025-09-28T23:51:59,565 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.sshd/sshd-scp/2.9.2
2025-09-28T23:51:59,565 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.apache.sshd/sshd-sftp/2.9.2
2025-09-28T23:51:59,565 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.jline/jline/3.21.0
2025-09-28T23:51:59,566 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       mvn:org.osgi/org.osgi.service.component/1.5.0
2025-09-28T23:51:59,566 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       wrap:mvn:com.ochafik/ochafik-swing/0.9.9
2025-09-28T23:51:59,566 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       wrap:mvn:com.sun.xml.bind/jaxb-impl/2.1.2
2025-09-28T23:51:59,566 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       wrap:mvn:jide/jide/3.5.1
2025-09-28T23:51:59,566 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       wrap:mvn:org.apache.httpcomponents/httpclient/4.5.13
2025-09-28T23:51:59,566 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       wrap:mvn:org.apache.httpcomponents/httpcore/4.4.8
2025-09-28T23:51:59,567 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       wrap:mvn:org.springframework/spring-beans/3.2.8.RELEASE
2025-09-28T23:51:59,567 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       wrap:mvn:org.springframework/spring-context/3.2.8.RELEASE
2025-09-28T23:51:59,567 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       wrap:mvn:org.springframework/spring-core/3.2.8.RELEASE
2025-09-28T23:51:59,568 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       wrap:mvn:org.springframework/spring-web/3.2.8.RELEASE
2025-09-28T23:51:59,569 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       wrap:file:/tmp/verisium_debug_temp_dir_2445477/karaf/system/com/cadence/tango/plugins/installer/1.0.0/jfxrt.jar
2025-09-28T23:51:59,569 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |       wrap:file:/tmp/verisium_debug_temp_dir_2445477/karaf/system/com/cadence/tango/plugins/installer/1.0.0/jfxswt.jar
2025-09-28T23:51:59,570 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 | Stopping bundles:
2025-09-28T23:51:59,574 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   org.apache.karaf.config.core/4.4.3
2025-09-28T23:51:59,582 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 | Installing bundles:
2025-09-28T23:51:59,582 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   mvn:org.bouncycastle/bcpkix-jdk15on/1.70
2025-09-28T23:51:59,604 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   mvn:org.bouncycastle/bcprov-jdk15on/1.70
2025-09-28T23:51:59,626 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   mvn:org.bouncycastle/bcutil-jdk15on/1.70
2025-09-28T23:51:59,632 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   file:/tmp/verisium_debug_temp_dir_2445477/karaf/system/com/cadence/tango/plugins/installer/1.0.0/framework-installer-15.22-SNAPSHOT.jar
2025-09-28T23:51:59,634 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   file:/tmp/verisium_debug_temp_dir_2445477/karaf/system/com/cadence/tango/plugins/splash/1.0.0/osgi-splash-1.0-SNAPSHOT.jar
2025-09-28T23:51:59,636 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   mvn:com.google.guava/guava/28.2-jre
2025-09-28T23:51:59,643 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   mvn:com.google.guava/failureaccess/1.0.1
2025-09-28T23:51:59,645 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   wrap:mvn:net.java.dev.jna/jna/4.4.0
2025-09-28T23:51:59,651 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   mvn:org.apache.aries.jmx/org.apache.aries.jmx.api/1.1.5
2025-09-28T23:51:59,653 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   mvn:org.apache.aries.jmx/org.apache.aries.jmx.core/1.1.8
2025-09-28T23:51:59,655 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   mvn:org.apache.aries.jmx/org.apache.aries.jmx.whiteboard/1.2.0
2025-09-28T23:51:59,657 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   mvn:org.apache.aries/org.apache.aries.util/1.1.3
2025-09-28T23:51:59,659 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   mvn:org.apache.felix/org.apache.felix.scr/2.2.4
2025-09-28T23:51:59,662 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   mvn:org.apache.karaf.bundle/org.apache.karaf.bundle.core/4.4.3
2025-09-28T23:51:59,665 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.features/4.4.3
2025-09-28T23:51:59,667 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.kar/4.4.3
2025-09-28T23:51:59,669 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.wrap/4.4.3
2025-09-28T23:51:59,671 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   mvn:org.apache.karaf.diagnostic/org.apache.karaf.diagnostic.core/4.4.3
2025-09-28T23:51:59,673 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   mvn:org.apache.karaf/org.apache.karaf.event/4.4.3
2025-09-28T23:51:59,675 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   mvn:org.apache.karaf.features/org.apache.karaf.features.command/4.4.3
2025-09-28T23:51:59,679 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   mvn:org.apache.karaf.instance/org.apache.karaf.instance.core/4.4.3
2025-09-28T23:51:59,682 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.command/4.4.3
2025-09-28T23:51:59,684 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.config/4.4.3
2025-09-28T23:51:59,686 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.modules/4.4.3
2025-09-28T23:51:59,690 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   mvn:org.apache.karaf.kar/org.apache.karaf.kar.core/4.4.3
2025-09-28T23:51:59,693 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   mvn:org.apache.karaf.log/org.apache.karaf.log.core/4.4.3
2025-09-28T23:51:59,696 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   mvn:org.apache.karaf.management/org.apache.karaf.management.server/4.4.3
2025-09-28T23:51:59,698 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   mvn:org.apache.karaf.package/org.apache.karaf.package.core/4.4.3
2025-09-28T23:51:59,700 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   mvn:org.apache.karaf.scr/org.apache.karaf.scr.management/4.4.3
2025-09-28T23:51:59,703 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   mvn:org.apache.karaf.scr/org.apache.karaf.scr.state/4.4.3
2025-09-28T23:51:59,704 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   mvn:org.apache.karaf.service/org.apache.karaf.service.core/4.4.3
2025-09-28T23:51:59,706 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   mvn:org.apache.karaf.shell/org.apache.karaf.shell.commands/4.4.3
2025-09-28T23:51:59,708 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   mvn:org.apache.karaf.shell/org.apache.karaf.shell.core/4.4.3
2025-09-28T23:51:59,712 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   mvn:org.apache.karaf.shell/org.apache.karaf.shell.ssh/4.4.3
2025-09-28T23:51:59,716 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   mvn:org.apache.karaf.system/org.apache.karaf.system.core/4.4.3
2025-09-28T23:51:59,718 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   mvn:org.apache.sshd/sshd-osgi/2.9.2
2025-09-28T23:51:59,726 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   mvn:org.apache.sshd/sshd-scp/2.9.2
2025-09-28T23:51:59,728 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   mvn:org.apache.sshd/sshd-sftp/2.9.2
2025-09-28T23:51:59,731 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   mvn:org.jline/jline/3.21.0
2025-09-28T23:51:59,736 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   mvn:org.osgi/org.osgi.service.component/1.5.0
2025-09-28T23:51:59,738 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   wrap:mvn:com.ochafik/ochafik-swing/0.9.9
2025-09-28T23:51:59,740 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   wrap:mvn:com.sun.xml.bind/jaxb-impl/2.1.2
2025-09-28T23:51:59,744 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   wrap:mvn:jide/jide/3.5.1
2025-09-28T23:51:59,764 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   wrap:mvn:org.apache.httpcomponents/httpclient/4.5.13
2025-09-28T23:51:59,770 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   wrap:mvn:org.apache.httpcomponents/httpcore/4.4.8
2025-09-28T23:51:59,772 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   wrap:mvn:org.springframework/spring-beans/3.2.8.RELEASE
2025-09-28T23:51:59,775 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   wrap:mvn:org.springframework/spring-context/3.2.8.RELEASE
2025-09-28T23:51:59,782 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   wrap:mvn:org.springframework/spring-core/3.2.8.RELEASE
2025-09-28T23:51:59,785 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   wrap:mvn:org.springframework/spring-web/3.2.8.RELEASE
2025-09-28T23:51:59,790 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   wrap:file:/tmp/verisium_debug_temp_dir_2445477/karaf/system/com/cadence/tango/plugins/installer/1.0.0/jfxrt.jar
2025-09-28T23:51:59,810 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   wrap:file:/tmp/verisium_debug_temp_dir_2445477/karaf/system/com/cadence/tango/plugins/installer/1.0.0/jfxswt.jar
2025-09-28T23:51:59,854 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 | Refreshing bundles:
2025-09-28T23:51:59,854 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |     org.apache.karaf.config.core/4.4.3 (Should be wired to: org.apache.karaf.shell.core/4.4.3 (through [org.apache.karaf.config.core [13](R 13.0)] osgi.wiring.package; (&(osgi.wiring.package=org.apache.karaf.shell.api.action)(version>=4.4.0)(!(version>=5.0.0)))))
2025-09-28T23:52:00,007 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 | Starting bundles:
2025-09-28T23:52:00,009 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   org.apache.karaf.config.core/4.4.3
2025-09-28T23:52:00,025 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   org.apache.aries.util/1.1.3
2025-09-28T23:52:00,027 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   org.apache.karaf.deployer.kar/4.4.3
2025-09-28T23:52:00,036 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   org.apache.karaf.deployer.wrap/4.4.3
2025-09-28T23:52:00,046 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   org.apache.karaf.deployer.features/4.4.3
2025-09-28T23:52:00,064 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   bcprov/1.70.0
2025-09-28T23:52:00,065 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   bcutil/1.70.0
2025-09-28T23:52:00,066 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   bcpkix/1.70.0
